mn_add_id,image_url,evidence_url
MN-ADD-001,https://target.scene7.com/is/image/Target/GUEST_24d0fd2a-8b48-4247-a462-aea57f0b4a38?wid=800&hei=800&qlt=80&fmt=pjpeg,https://www.target.com/p/now-foods-resveratrol-200-mg-120-veg-capsules/-/A-1005613422
MN-ADD-002,https://cf.shopee.co.th/file/f05278fbfd1955a9b2b91ac24019661a,https://shopee.co.th/Now-Foods-Plant-Enzymes-240-Veg-Capsules-i.171502749.2709537683
MN-ADD-003,https://lzd-img-global.slatic.net/g/p/f702730513d6b1b42b5b95bb86e0d6bb.jpg_720x720q80.jpg,https://www.lazada.com.ph/products/optimum-nutrition-micronized-creatine-monohydrate-150g-300g-600g-powder-100-200-300-capsules-i3486793925.html
MN-ADD-004,https://down-my.img.susercontent.com/file/sg-11134201-7rbk9-lmm2w0kj35uhe5,https://shopee.com.my/Now-Foods-Apple-Pectin-700mg-120-Veg-Capsules-i.432738251.23582698950
MN-ADD-005,https://shop.coles.com.au/wcsstore/Coles-CAS/images/4/4/9/4497374-zm.jpg,https://www.coles.com.au/product/metamucil-powder-114-dose-daily-fibre-supplement-smooth-orange-673g-4497374
MN-ADD-006,https://m.media-amazon.com/images/I/61lqfWa9fOL._AC_SL1177_.jpg,https://www.amazon.com/Swanson-Rhodiola-Rosea-Extract-Caps/dp/B07FKVXCW8
MN-ADD-007,https://img.lazcdn.com/g/ff/kf/S39babbbfcaad4408b49dd1e2fcfb8cd8w.jpg_720x720q80.jpg,https://www.lazada.co.th/products/turmeric-capsule-abhaibhubejhr-60-1-g-81153-i5067573889.html
MN-ADD-008,https://brandsforlessusa.com/cdn/shop/files/CaliforniaGoldNutrition_N-Acetyl-L-CysteinewithMolybdenumandSelenium_120VeggieCapsules_1024x1024.jpg?v=1775365813,https://brandsforlessusa.com/products/california-gold-nutrition-n-acetyl-l-cysteine-with-molybdenum-and-selenium-120-veggie-capsules
MN-ADD-009,https://endocrinology-associates.com/wp-content/uploads/2025/08/81_E3Y1.jpg,https://endocrinology-associates.com/product/garden-of-life-once-daily-dr-formulated-probiotics-for-women-50-billion-cfu-16-probiotic-strains-with-organic-prebiotics-for-digestive-vaginal-immune-health-dairy-free-shelf-stable-30-capsules/
MN-ADD-010,https://s3.images-iherb.com/ctl/ctl40021/l/44.jpg,https://www.iherb.com/pr/culturelle-probiotics-digestive-daily-probiotic-50-once-daily-vegetarian-capsules/72683
MN-ADD-011,https://down-sg.img.susercontent.com/file/sg-11134208-7rd41-lvsu4yyspzd4aa,https://shopee.sg/Jarrow-Formulas-Saccharomyces-Boulardii-MOS-180-Veggie-Caps-5-Billion-CFU-Probiotic-Prebiotic-Supplement-i.1023658263.22273744595
MN-ADD-012,https://down-my.img.susercontent.com/file/cbff5d6366c29045c38039bc8ef36f2c,https://shopee.com.my/-Ready-Stock-EXP07-2027-Now-Foods-Alpha-GPC-(-300-mg-)-(-60-Veg-Capsules-)-i.50813900.21324349138
